\datem\exp_data\etex\stations.txt
stn      lat     lon
1001   47.50    9.73 
1002   47.82   13.73  
1003   47.27   11.35  
1004   48.23   14.18  
1005   47.78   13.05  
1006   47.05   12.95 
1007   46.93   14.92 
1008   48.23   16.35  
2001   50.10    4.60 
2002   50.47    6.18  
2003   51.08    2.65  
2004   51.22    5.08  
2005   50.80    4.35 
3001   42.65   23.38 
3002   43.82   22.88  
4001   46.78    9.68  
4002   46.82    6.95  
4003   47.48    8.53 
4004   46.55    7.98 
5001   49.77   17.55 
5002   50.77   15.02  
5003   50.00   14.45  
5004   49.20   14.33 
6001   53.03   14.00  
6002   54.68   13.43  
6003   51.38   11.30   
6004   48.43   10.93   
6005   52.47   13.40   
6006   53.05    8.80   
6007   51.80   10.62 
6008   53.87    8.70   
6009   51.13   13.78  
6010   51.40    6.97   
6011   47.88    8.00  
6012   50.43   12.95  
6013   50.05    8.60   
6014   51.17   14.95   
6015   54.10   13.40     
6016   53.63   10.00   
6017   52.47    9.70  
6018   54.18    7.90   
6019   50.32   11.88   
6020   47.80   11.02   
6021   51.18    8.48   
6022   51.30    9.45   
6023   51.42   12.23   
6024   52.22   14.12  
6025   52.52    7.30   
6026   55.02    8.42   
6027   52.97   11.13   
6028   52.12   11.58   
6029   49.52    8.55  
6030   52.13    7.70    
6031   53.55   13.20    
6032   52.90   12.82   
6033   53.72    7.15   
6034   50.33    6.95  
6035   49.50   11.08  
6036   49.22    9.52   
6037   48.58   13.47 
6038   49.05   12.10   
6039   54.18   12.08    
6040   49.22    7.12  
6041   54.53    9.55 
6042   53.65   11.38  
6043   48.68    9.22  
6044   49.75    6.67  
6045   50.50    9.95 
6046   47.70   12.02  
6047   49.77    9.97  
7001   57.10    9.87   
7002   54.83   10.97  
7003   56.45   10.97  
7004   55.30   14.78   
7005   56.00    8.13   
7006   55.77   12.53   
7007   56.30    9.12  
7008   54.95   12.55 
7009   57.73   10.63  
7010   55.23    9.27   
7011   56.70    8.22     
8001   50.13    1.83   
8002   48.45     .10   
8003   47.80    3.55  
8004   47.60    7.52  
8005   47.63    6.87  
8006   47.25    5.98  
8007   47.07    2.37   
8008   48.45   -4.42   
8009   49.18    -.45   
8010   49.63   -1.62   
8011   47.92    7.40   
8012   47.27    5.08   
8013   48.17    6.43  
8014   50.57    3.10    
8015   49.08    6.13  
8016   48.68    6.22   
8017   47.17   -1.60    
8018   49.02    2.53  
8019   48.73    2.40   
8020   49.30    4.03   
8021   48.07   -1.73   
8022   49.38    1.18   
8023   48.53   -2.85 
8024   48.55    7.63   
8025   47.45     .72   
8026   47.55   -2.75 
8027   48.75    2.02   
9001   47.43   19.18  
9002   47.70   17.68   
9003   46.45   16.90   
9004   47.27   16.63   
9101   60.30    5.22   
9102   60.98    9.23  
9104   58.20    8.08   
9105   60.20   11.08   
9106   59.38   10.78   
9107   58.88    5.63    
9201   50.92    5.78  
9202   52.10    5.18   
9203   52.92    4.78    
9204   53.13    6.58    
9205   51.45    3.60   
9206   51.95    4.45   
9207   53.82    2.95   
9208   53.55    4.20   
9209   52.77    3.77    
9301   54.60   18.82   
9302   50.82   20.70   
9303   50.43   16.65   
9304   54.20   16.15 
9305   52.20   18.67   
9306   53.13   16.75   
9307   54.13   22.95   
9308   51.93   15.53   
9401   46.17   21.32   
9402   44.50   26.13   
9501   59.53   15.58  
9502   57.78   11.88   
9503   58.40   19.20   
9504   57.30   14.13 
9505   56.92   18.15  
9506   59.37   13.47 
9507   56.30   12.45   
9508   56.08   13.23  
9509   58.07   15.23 
9510   55.55   13.37  
9511   60.68   13.72   
9512   57.30   11.90     
9513   58.58   16.15  
9514   56.20   16.40   
9515   56.27   15.28   
9516   59.35   17.95   
9517   59.58   16.63   
9518   57.67   18.20  
9601   60.82   23.50   
9602   59.78   21.38  
9701   48.48   17.67  
9702   49.37   19.67   
9703   48.33   19.77  
9704   48.67   21.73   
9801   51.35    1.35    
9802   52.68    1.68   
9803   53.17    -.52   
9804   52.35    -.12   
9805   51.48    -.45    
9806   50.90     .33   
9807   51.75   -1.58    
