 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     5         5 @Base/abstractarray.jl    ? getindex
     5         5 @NuclearDetonation/…port/orchestration.jl 1428 integrate_timestep!(state::Simula…
     5         0 @NuclearDetonation/…port/orchestration.jl  505 integrate_timestep!(state::Simula…
     5         5 @Base/strings/io.jl      34 print(io::IOBuffer, x::Float64)
     5         5 @NuclearDetonation/…port/orchestration.jl 1435 integrate_timestep!(state::Simula…
     5         5 @Base/float.jl          621 ==
     5         5 @Base/simdloop.jl        75 macro expansion
     5         0 @NuclearDetonation/…/particle_dynamics.jl  554 create_wind_interpolants(met_fiel…
     5         0 @Base/set.jl            926 _replace!(new::NuclearDetonation.…
     5         5 @NuclearDetonation/…/particle_dynamics.jl  552 #42
     5         0 @NuclearDetonation/…/particle_dynamics.jl  495 create_wind_interpolants(met_fiel…
     5         5 @NuclearDetonation/…port/orchestration.jl 1365 integrate_timestep!(state::Simula…
     5         0 @NuclearDetonation/…/particle_dynamics.jl  606 create_wind_interpolants(met_fiel…
     5         0 @NuclearDetonation/…/particle_dynamics.jl  478 create_wind_interpolants(met_fiel…
     5         0 @Base/special/exp.jl    270 exp_impl_fast
     5         5 @NuclearDetonation/…port/orchestration.jl 1148 integrate_timestep!(state::Simula…
     5         5 @Base/iobuffer.jl       822 unsafe_write(to::IOBuffer, p::Ptr…
     5         0 @NuclearDetonation/…/particle_dynamics.jl  511 create_wind_interpolants(met_fiel…
     5         0 @NuclearDetonation/…/particle_dynamics.jl  466 create_wind_interpolants(met_fiel…
     5         0 @NuclearDetonation/…/particle_dynamics.jl  651 create_wind_interpolants(met_fiel…
     5         0 @Base/ryu/shortest.jl   332 writeshortest(buf::Vector{UInt8},…
     5         5 @NuclearDetonation/…port/orchestration.jl  514 integrate_timestep!(state::Simula…
     5         0 @NuclearDetonation/…port/orchestration.jl  492 integrate_timestep!(state::Simula…
     5         5 @NuclearDetonation/…port/orchestration.jl 1332 integrate_timestep!(state::Simula…
     5         0 @Base/iobuffer.jl       823 unsafe_write(to::IOBuffer, p::Ptr…
     5         5 @Base/array.jl         3187 wrap
     5         0 @Base/subarray.jl       339 getindex
     5         0 @Base/ryu/shortest.jl   380 writeshortest(buf::Vector{UInt8},…
     5         0 @Base/io.jl             408 open(::NuclearDetonation.Transpor…
     5         0 @Base/iostream.jl       379 open(fname::String, mode::String)
     5         0 @NuclearDetonation/…/particle_dynamics.jl  543 create_wind_interpolants(met_fiel…
     5         0 @NuclearDetonation/…ansport/simulation.jl  187 height_to_sigma_hybrid(x::Float64…
     5         0 @NuclearDetonation/…/particle_dynamics.jl  650 create_wind_interpolants(met_fiel…
     5         5 @NuclearDetonation/…port/orchestration.jl  787 (::NuclearDetonation.Transport.va…
     5         4 @NuclearDetonation/…port/orchestration.jl  746 (::NuclearDetonation.Transport.va…
     5         5 @NuclearDetonation/…port/orchestration.jl  866 (::NuclearDetonation.Transport.va…
     5         0 @Base/math.jl          1173 pow_body(x::Float64, y::Float64)
     6         0 @NuclearDetonation/…/particle_dynamics.jl  558 create_wind_interpolants(met_fiel…
     6         0 @NuclearDetonation/…ansport/met_reader.jl  300 copy_met_fields!(dst::MeteoFields…
     6         0 @Base/anyall.jl         123 _any
     6         0 @NuclearDetonation/…port/orchestration.jl  482 integrate_timestep!(state::Simula…
     6         0 @Base/iobuffer.jl       831 unsafe_write(to::IOBuffer, p::Ptr…
     6         0 @Base/reduce.jl        1080 count
     6         0 @Base/reduce.jl        1080 #count#293
     6         0 @Base/reduce.jl        1082 count
     6         0 @Base/reduce.jl        1082 #count#294
     6         0 @Base/reduce.jl        1084 _simple_count
     6         0 @Base/reduce.jl         524 sum
     6         0 @Base/reduce.jl         524 #sum#277
     6         0 @Base/reduce.jl         299 mapreduce
     6         0 @Base/reduce.jl         299 #mapreduce#274
     6         0 @Base/reduce.jl         167 mapfoldl
     6         0 @Base/reduce.jl         167 #mapfoldl#270
     6         0 @Base/reduce.jl          36 mapfoldl_impl
     6         0 @Base/reduce.jl          40 foldl_impl
     6         0 @NuclearDetonation/…/particle_dynamics.jl  512 create_wind_interpolants(met_fiel…
     6         0 @Base/range.jl          805 length(r::StepRange{Int64, Int64})
     6         6 @Base/int.jl            301 div
     6         6 @Base/float.jl          495 +(x::Float64, y::Float64)
     6         6 @Base/iostream.jl        43 close(s::IOStream)
     6         0 @NuclearDetonation/…t/turbulence_hanna.jl  227 compute_neutral_turbulence(z::Flo…
     6         0 @NuclearDetonation/…port/orchestration.jl 1087 integrate_timestep!(state::Simula…
     6         6 @Base/int.jl            303 div
     6         0 @NuclearDetonation/…ansport/simulation.jl  930 accumulate_concentration!(fields:…
     6         0 @NuclearDetonation/…hybrid_coordinates.jl  149 height_from_sigma(profile::Hybrid…
     6         4 @NuclearDetonation/…port/orchestration.jl  579 integrate_timestep!(state::Simula…
     6         0 @Base/int.jl            540 >>
     6         6 @NuclearDetonation/…port/orchestration.jl  469 integrate_timestep!(state::Simula…
     6         6 @NuclearDetonation/…port/orchestration.jl 1040 integrate_timestep!(state::Simula…
     6         0 @NuclearDetonation/…/particle_dynamics.jl  477 create_wind_interpolants(met_fiel…
     6         1 @Base/io.jl             407 open
     6         6 @NuclearDetonation/…port/orchestration.jl 1436 integrate_timestep!(state::Simula…
     6         6 @NuclearDetonation/…port/orchestration.jl 1427 integrate_timestep!(state::Simula…
     6         0 @NuclearDetonation/…hybrid_coordinates.jl  150 height_from_sigma(profile::Hybrid…
     7         0 @Base/iostream.jl        44 unsafe_write(s::IOStream, p::Ptr{…
     7         0 @Base/lock.jl           272 unlock
     7         7 @Base/lock.jl           278 (::Base.var"#_unlock#unlock##0")(…
     7         2 @NuclearDetonation/…hybrid_coordinates.jl  237 sigma_from_height(profile::Hybrid…
     7         0 @NuclearDetonation/…/particle_dynamics.jl  557 create_wind_interpolants(met_fiel…
     7         0 @NuclearDetonation/…hybrid_coordinates.jl   98 hybrid_profile(winds::WindFields{…
     7         7 @NuclearDetonation/…port/orchestration.jl 1437 integrate_timestep!(state::Simula…
     7         6 @NuclearDetonation/…port/orchestration.jl  871 (::NuclearDetonation.Transport.va…
     7         7 @Base/iterators.jl        ? integrate_timestep!(state::Simula…
     7         7 @NuclearDetonation/…port/orchestration.jl  788 (::NuclearDetonation.Transport.va…
     7         7 @Base/iostream.jl       314 open(fname::String; lock::Bool, r…
     7         6 @NuclearDetonation/…port/orchestration.jl  865 (::NuclearDetonation.Transport.va…
     7         7 @NuclearDetonation/…port/orchestration.jl  864 (::NuclearDetonation.Transport.va…
     7         0 @Base/ryu/utils.jl       52 mulshift
     7         0 @Base/sort.jl           211 searchsortedlast
